Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
Cost-benefit/cost-effectiveness analyses,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Tsivanidis, Nick","[""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Transport safety"", ""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Bus Rapid Transit (BRT) | Education access and outcomes"", ""Bus Rapid Transit (BRT) | Employment access and outcomes"", ""Bus Rapid Transit (BRT) | Economic activity""]",,"[""Latin America and Caribbean""]","[""Colombia""]",NO DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",34500,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",,Bus Rapid Transit (BRT) System|| Transmilenio|| Colombian Public Schools,"[""2181"", ""2183"", ""2194"", ""2197"", ""2201"", ""2202""]","[""Travel time, commuting and speed"", ""Transport safety"", ""Land, housing, and rent prices and affordability"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity""]",Thesis,Thesis,34500,Published,completed,The Aggregate and Distributional Effects of Urban Transit Infrastructure: Evidence from Bogotá’s TransMilenio⇤,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-aggregate-and-distributional-effects-of-urban-transit-infrastructure--evidence-from-bogotá’s-transmilenio⇤/34500,2018
None,No,Q1,,"Tsivanidis, Nick","[""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation"", ""Bus Rapid Transit (BRT) | Employment access and outcomes"", ""Bus Rapid Transit (BRT) | Economic activity""]",,"[""Latin America and Caribbean""]","[""Colombia""]",No DOI,Instrumental variable estimation,"[""Impact evaluations""]",33430,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]","University of California, Berkeley",TransMilenio|| City Structure|| Bogota|| sorting|| Bus Rapid Transit (BRT),"[""2181"", ""2194"", ""2195"", ""2199"", ""2201"", ""2202""]","[""Travel time, commuting and speed"", ""Land, housing, and rent prices and affordability"", ""Goods and services prices and inflation"", ""Inequality and segregation"", ""Employment access and outcomes"", ""Economic activity""]",Published working paper,RPRT,33430,Published,completed,Evaluating the Impact of Urban Transit Infrastructure: Evidence from Bogotá’s TransMilenio,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-impact-of-urban-transit-infrastructure--evidence-from-bogotá’s-transmilenio/33430,2023
None,Yes,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Oviedo, Daniel; Scholl, Lynn; Innao, Marco; Pedraza, Lauramaria","[""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation"", ""Bus Rapid Transit (BRT) | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Peru""]",10.3390/su11102795,Fixed effects (incl. DiD),"[""Impact evaluations""]",34464,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Sustainability,BUS rapid transit|| Employment|| Accessibility|| Equity,"[""2181"", ""2195"", ""2199"", ""2201""]","[""Travel time, commuting and speed"", ""Goods and services prices and inflation"", ""Inequality and segregation"", ""Employment access and outcomes""]",Journal article,JOUR,34464,Published,completed,"Do Bus Rapid Transit Systems Improve Accessibility to Jobs?: The Case of Lima, Peru",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/do-bus-rapid-transit-systems-improve-accessibility-to-jobs---the-case-of-lima--peru/34464,2019
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Bel, Germà; Holst, Maximilian","[""Bus Rapid Transit (BRT) | Air pollution and greenhouse gases""]",,"[""Latin America and Caribbean""]","[""Mexico""]",10.1016/j.tranpol.2018.01.001,Fixed effects (incl. DiD),"[""Impact evaluations""]",16684,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Transport Policy,ENVIRONMENTAL policy|| BUS rapid transit|| TRANSPORTATION & the environment|| Environmental policy evaluation|| Public transport|| Urban air pollution,"[""2192""]","[""Air pollution and greenhouse gases""]",Journal article,JOUR,16684,Published,completed,Evaluation of the impact of Bus Rapid Transit on air pollution in Mexico City,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluation-of-the-impact-of-bus-rapid-transit-on-air-pollution-in-mexico-city/16684,2018
None,No,Q1,,"Kim, Junsik; Ewing, Reid","[""Bus Rapid Transit (BRT) | Air pollution and greenhouse gases""]",,"[""North America""]","[""United States""]",10.1016/j.tranpol.2023.11.019,Fixed effects (incl. DiD),"[""Impact evaluations""]",33401,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",TRANSPORT POLICY,,"[""2192""]","[""Air pollution and greenhouse gases""]",Journal article,JOUR,33401,Published EGM,completed,"Impact of ""light"" bus rapid transit (BRT-light) on traffic and emissions in a travel corridor",ier,https://www.sciencedirect.com/science/article/pii/S0967070X23003268?casa_token=gTWPLrf8eD4AAAAA:TyfA9hmlkTU7pZdzeAzpiQDQl7so70TwGiYYqhKXWSb2EnJ52-pD6OPvi-gybIep41X22vp_zEs,2024
None,No,Q1,,"García-López, Miquel-Ángel; Gómez-Hernández, Luz Yadira","[""Bus Rapid Transit (BRT) | Private vehicle use"", ""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Cables | Private vehicle use"", ""Cables | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.1016/j.retrec.2024.101464,Fixed effects (incl. DiD),"[""Impact evaluations""]",33529,"[""Lower middle income""]","[""2154"", ""2156""]","[""Bus Rapid Transit (BRT)"", ""Cables""]",Research in Transportation Economics,Public Transportation|| MCTS|| Real state prices,"[""2178"", ""2194""]","[""Private vehicle use"", ""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33529,Published,completed,"Housing Prices, Buses and Trams in Medellin (Colombia)",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/housing-prices--buses-and-trams-in-medellin-(colombia)/33529,2024
None,No,Q1,,Combs Tabitha S; Rodríguez Daniel A,"[""Bus Rapid Transit (BRT) | Private vehicle use""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.1016/j.tra.2014.08.025,Fixed effects (incl. DiD),"[""Impact evaluations""]",33330,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Transportation Research Part A: Policy and Practice,Bus Rapid Transit (BRT) System|| Urban Form|| Motorization|| Bogota|| Diffeerence-In-Difference,"[""2178""]","[""Private vehicle use""]",Journal article,JOUR,33330,Published,completed,"Joint Impacts of Bus Rapid Transit and Urban Form on Vehicle Ownership: New Evidence from a Quasi-Longitudinal Analysis in Bogotá, Colombia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/joint-impacts-of-bus-rapid-transit-and-urban-form-on-vehicle-ownership--new-evidence-from-a-quasi-longitudinal-analysis-in-bogotá--colombia/33330,2014
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Martin-Buck VII, Frank","[""Bus Rapid Transit (BRT) | Transport safety"", ""Bus Rapid Transit (BRT) | Crime and citizen security"", ""Urban trains (subways, passenger trains, LRT, metros) | Transport safety"", ""Urban trains (subways, passenger trains, LRT, metros) | Crime and citizen security""]",,"[""North America""]","[""United States""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",34452,"[""High income""]","[""2154"", ""2155""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)""]",not applicable,,"[""2183"", ""2200""]","[""Transport safety"", ""Crime and citizen security""]",Thesis,Thesis,34452,Published EGM,completed,Quantifying the Effect of Rapid Transit on Drunk Driving,ier,https://repositories.lib.utexas.edu/items/f71b4f33-4579-4c6e-81f0-42c39977722b,2017
Cost-benefit/cost-effectiveness analyses,No,Q3,,"Perdomo, Jorge; Arzuza, María","[""Bus Rapid Transit (BRT) | Transport safety""]",,"[""Latin America and Caribbean""]","[""Colombia""]",,Interrupted time series analysis,"[""Impact evaluations""]",34479,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Lecturas de Economia,reducción de accidentalidad vial|| transmetro|| Barranquilla|| reduction of road accidents|| benefios sociales|| Social Benefits,"[""2183""]","[""Transport safety""]",Journal article,JOUR,34479,Published,completed,"Economic Benefits of Transmetro on the Reduction of Road Accidents in the Metropolitan Area of Barranquilla, Colombia.",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/economic-benefits-of-transmetro-on-the-reduction-of-road-accidents-in-the-metropolitan-area-of-barranquilla--colombia-/34479,2015
None,No,Q4,,García Álvaro José Moreno,"[""Bus Rapid Transit (BRT) | Transport safety""]",,"[""Latin America and Caribbean""]","[""Colombia""]",NO DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",33372,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Universidad de los Andes - CEDE,Crimen|| Disuasión|| Desplazamiento|| Experimento natural|| análisis de datos espaciales|| econometría espacial,"[""2183""]","[""Transport safety""]",Journal article,JOUR,33372,Published,completed,Impacto De Transmilenio En El Crimen De La Avenida Caracas Y Sus Vecindades,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacto-de-transmilenio-en-el-crimen-de-la-avenida-caracas-y-sus-vecindades/33372,2005
None,No,Q1,,"Acton, Blake; Le, Huyen, T.K.; Miller, Harvey, J.","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""North America""]","[""United States""]",10.1016/j.jtrangeo.2022.103324,Fixed effects (incl. DiD),"[""Impact evaluations""]",33259,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",JOURNAL OF TRANSPORT GEOGRAPHY,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33259,Published EGM,completed,Impacts of Bus Rapid Transit (BRT) on Residential Property Values: A Comparative Analysis of 11 US BRT Systems,ier,https://www.sciencedirect.com/science/article/abs/pii/S0966692322000473,2022
Cost information (program costs and/or cost per participant),No,Q1,,"Filippova, Olga; Sheng, Mingyue","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""East Asia and Pacific""]","[""New Zealand""]",10.1016/j.jtrangeo.2020.102780,Fixed effects (incl. DiD),"[""Impact evaluations""]",33363,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",JOURNAL OF TRANSPORT GEOGRAPHY,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33363,Published EGM,completed,"Impact of Bus Rapid Transit on Residential Property Prices in Auckland, New Zealand",ier,https://www.sciencedirect.com/science/article/abs/pii/S0966692319306623?casa_token=Vq_hpSj8viwAAAAA:BKb-yh-iqr2EdR0x3G9t-qtgkDwWuaTCrIgEG3sFVVhtX_IDCHktggI8Ee-VREj1iHlRIF3drHA,2020
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Beaudoin, Justin; Tyndall, Justin","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""North America""]","[""United States""]",10.1016/j.retrec.2023.101370,Fixed effects (incl. DiD),"[""Impact evaluations""]",33287,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Research in Transportation Economics,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33287,Published EGM,completed,The Effect of Bus Rapid Transit on Local Home Prices,ier,https://www.sciencedirect.com/science/article/abs/pii/S0739885923001105?via%3Dihub,2023
None,No,Q1,,"Dubé, Jean; Des Rosiers, Francois; Thériault, Marius; Dib, Patricia","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""North America""]","[""Canada""]",10.1016/j.trb.2014.02.007,Fixed effects (incl. DiD),"[""Impact evaluations""]",34441,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Transportation Research Part A,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,34441,Published EGM,completed,Economic impact of a supply change in mass transit in urban areas A canadian example,ier,https://www.sciencedirect.com/science/article/abs/pii/S0965856410001382,2011
Cost information (program costs and/or cost per participant),No,Q1,,"Dubé, Jean; Legros, Diègo; Devaux, Nicolas","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Urban trains (subways, passenger trains, LRT, metros) | Land, housing, and rent prices and affordability""]",,"[""Europe and Central Asia""]","[""France""]",10.1016/j.tra.2018.02.007,Fixed effects (incl. DiD),"[""Impact evaluations""]",34438,"[""High income""]","[""2154"", ""2155""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)""]",,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,34438,Published EGM,completed,From Bus to Tramway: Is There an Economic Impact of Substituting a Rapid Mass Transit System? An Empirical Investigation Accounting for Anticipation Effect,ier,https://doi.org/10.1016/j.tra.2018.02.007,2018
None,No,Q1,,"Song, Yang; Lee, Chanam; Noh, Youngree; Li, Wei; Lee, Hanwool","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""North America""]","[""United States""]",10.1177/0739456X251317,Synthetic control,"[""Impact evaluations""]",34426,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",JOURNAL OF PLANNING EDUCATION AND RESEARCH,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,34426,Published EGM,completed,"Bus Rapid Transit Impact on Property Prices: Comparing Two Natural Experiments in El Paso, TX",ier,https://journals.sagepub.com/doi/10.1177/0739456X251317541,2025
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Almeida, Renan; Brandão, Marcelo; Torres, Ramon; Patrício, Pedro; Amaral, Pedro","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1111/pirs.12572,Fixed effects (incl. DiD),"[""Impact evaluations""]",14456,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Papers in Regional Science,difference‐in‐differences|| Land use planning|| Large‐ scale urban projects|| Urban Development|| Land Market,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,14456,Published,completed,"An Assessment of the Impacts of Large‐Scale Urban Projects on Land Values: The Case of Belo Horizonte, Brazil",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/an-assessment-of-the-impacts-of-large‐scale-urban-projects-on-land-values--the-case-of-belo-horizonte--brazil/14456,2020
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Pfutze, Tobias; Rodríguez-Castelán, Carlos; Valderrama Gonzalez, Daniel","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Colombia""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",15765,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Policy Research Working Papers,Bus Rapid Transit (BRT) System|| Barranquilla|| Urban Displacement|| Transport Infrastructure,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Published working paper,RPRT,15765,Published,completed,Urban Transport Infrastructure and Household Welfare: Evidence from Colombia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/urban-transport-infrastructure-and-household-welfare--evidence-from-colombia/15765,2018
Cost information (program costs and/or cost per participant),No,Q1,,"Mulley, Corinne; Tsai, Chi-Hong","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""East Asia and Pacific""]","[""Australia""]",10.1016/j.tranpol.2016.01.011,Fixed effects (incl. DiD),"[""Impact evaluations""]",33875,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",TRANSPORT POLICY,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33875,Published EGM,completed,"When and and how much does new transport infrastructure add to property values? Evidence from the bus rapid transit system in Sydney, Australia",ier,https://www.sciencedirect.com/science/article/abs/pii/S0967070X16300105,2016
None,No,Q1,,"Guzmán, Luis A; Enríquez, Hernán Darío; Hessel, Phillip","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation""]",,"[""Latin America and Caribbean""]","[""Colombia""]",,Statistical matching,"[""Impact evaluations""]",34468,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Research in Transportation Economics,LAND use|| Land Values|| local accessibility|| Transmilenio|| Urban Development,"[""2194"", ""2195"", ""2199""]","[""Land, housing, and rent prices and affordability"", ""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,34468,Published,completed,BRT System in Bogota and Urban Effects: More Residential Land Premiums?,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/brt-system-in-bogota-and-urban-effects--more-residential-land-premiums-/34468,2021
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Perdomo, Jorge A.","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.1080/13504851.2011.554360,Statistical matching,"[""Impact evaluations""]",33448,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Applied Economics Letters,TransMilenio|| Bogota|| Impact evaluations|| Propensity score matching|| spatial hedonic price|| change of property value,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33448,Published,completed,A Methodological Proposal to Estimate Changes of Residential Property Value: a Case Study Developed in Bogotá,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/a-methodological-proposal-to-estimate-changes-of-residential-property-value--a-case-study-developed-in-bogotá/33448,2011
