record_id,title,authors,year_of_publication,study_type_raw,study_status,publication_type,publication_type_short,confidence_rating,doi,journal_name,url,keywords_string,intervention_ids,intervention_labels,outcome_ids,outcome_labels,evidence_types,cells
34500,The Aggregate and Distributional Effects of Urban Transit Infrastructure: Evidence from Bogotá’s TransMilenio⇤,"Tsivanidis, Nick",2018,ier,Completed,Thesis,Thesis,,NO DOI,,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-aggregate-and-distributional-effects-of-urban-transit-infrastructure--evidence-from-bogotá’s-transmilenio⇤/34500,Bus Rapid Transit (BRT) System|| Transmilenio|| Colombian Public Schools,2154,Bus Rapid Transit (BRT),2181;2183;2194;2197;2201;2202,"Travel time, commuting and speed;Transport safety;Land, housing, and rent prices and affordability;Education access and outcomes;Employment access and outcomes;Economic activity",Impact evaluations,"Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Transport safety;Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Bus Rapid Transit (BRT) | Education access and outcomes;Bus Rapid Transit (BRT) | Employment access and outcomes;Bus Rapid Transit (BRT) | Economic activity"
33430,Evaluating the Impact of Urban Transit Infrastructure: Evidence from Bogotá’s TransMilenio,"Tsivanidis, Nick",2023,ier,Completed,Published working paper,RPRT,,No DOI,"University of California, Berkeley",https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-impact-of-urban-transit-infrastructure--evidence-from-bogotá’s-transmilenio/33430,TransMilenio|| City Structure|| Bogota|| sorting|| Bus Rapid Transit (BRT),2154,Bus Rapid Transit (BRT),2181;2194;2195;2199;2201;2202,"Travel time, commuting and speed;Land, housing, and rent prices and affordability;Goods and services prices and inflation;Inequality and segregation;Employment access and outcomes;Economic activity",Impact evaluations,"Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation;Bus Rapid Transit (BRT) | Employment access and outcomes;Bus Rapid Transit (BRT) | Economic activity"
34464,"Do Bus Rapid Transit Systems Improve Accessibility to Jobs?: The Case of Lima, Peru","Oviedo, Daniel; Scholl, Lynn; Innao, Marco; Pedraza, Lauramaria",2019,ier,Completed,Journal article,JOUR,,10.3390/su11102795,Sustainability,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/do-bus-rapid-transit-systems-improve-accessibility-to-jobs---the-case-of-lima--peru/34464,BUS rapid transit|| Employment|| Accessibility|| Equity,2154,Bus Rapid Transit (BRT),2181;2195;2199;2201,"Travel time, commuting and speed;Goods and services prices and inflation;Inequality and segregation;Employment access and outcomes",Impact evaluations,"Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation;Bus Rapid Transit (BRT) | Employment access and outcomes"
16684,Evaluation of the impact of Bus Rapid Transit on air pollution in Mexico City,"Bel, Germà; Holst, Maximilian",2018,ier,Completed,Journal article,JOUR,,10.1016/j.tranpol.2018.01.001,Transport Policy,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluation-of-the-impact-of-bus-rapid-transit-on-air-pollution-in-mexico-city/16684,ENVIRONMENTAL policy|| BUS rapid transit|| TRANSPORTATION & the environment|| Environmental policy evaluation|| Public transport|| Urban air pollution,2154,Bus Rapid Transit (BRT),2192,Air pollution and greenhouse gases,Impact evaluations,Bus Rapid Transit (BRT) | Air pollution and greenhouse gases
33401,"Impact of ""light"" bus rapid transit (BRT-light) on traffic and emissions in a travel corridor","Kim, Junsik; Ewing, Reid",2024,ier,Completed,Journal article,JOUR,,10.1016/j.tranpol.2023.11.019,TRANSPORT POLICY,https://www.sciencedirect.com/science/article/pii/S0967070X23003268?casa_token=gTWPLrf8eD4AAAAA:TyfA9hmlkTU7pZdzeAzpiQDQl7so70TwGiYYqhKXWSb2EnJ52-pD6OPvi-gybIep41X22vp_zEs,,2154,Bus Rapid Transit (BRT),2192,Air pollution and greenhouse gases,Impact evaluations,Bus Rapid Transit (BRT) | Air pollution and greenhouse gases
33529,"Housing Prices, Buses and Trams in Medellin (Colombia)","García-López, Miquel-Ángel; Gómez-Hernández, Luz Yadira",2024,ier,Completed,Journal article,JOUR,,10.1016/j.retrec.2024.101464,Research in Transportation Economics,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/housing-prices--buses-and-trams-in-medellin-(colombia)/33529,Public Transportation|| MCTS|| Real state prices,2154;2156,Bus Rapid Transit (BRT);Cables,2178;2194,"Private vehicle use;Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Private vehicle use;Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Cables | Private vehicle use;Cables | Land, housing, and rent prices and affordability"
33330,"Joint Impacts of Bus Rapid Transit and Urban Form on Vehicle Ownership: New Evidence from a Quasi-Longitudinal Analysis in Bogotá, Colombia",Combs Tabitha S; Rodríguez Daniel A,2014,ier,Completed,Journal article,JOUR,,10.1016/j.tra.2014.08.025,Transportation Research Part A: Policy and Practice,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/joint-impacts-of-bus-rapid-transit-and-urban-form-on-vehicle-ownership--new-evidence-from-a-quasi-longitudinal-analysis-in-bogotá--colombia/33330,Bus Rapid Transit (BRT) System|| Urban Form|| Motorization|| Bogota|| Diffeerence-In-Difference,2154,Bus Rapid Transit (BRT),2178,Private vehicle use,Impact evaluations,Bus Rapid Transit (BRT) | Private vehicle use
34452,Quantifying the Effect of Rapid Transit on Drunk Driving,"Martin-Buck VII, Frank",2017,ier,Completed,Thesis,Thesis,,No DOI,not applicable,https://repositories.lib.utexas.edu/items/f71b4f33-4579-4c6e-81f0-42c39977722b,,2154;2155,"Bus Rapid Transit (BRT);Urban trains (subways, passenger trains, LRT, metros)",2183;2200,Transport safety;Crime and citizen security,Impact evaluations,"Bus Rapid Transit (BRT) | Transport safety;Bus Rapid Transit (BRT) | Crime and citizen security;Urban trains (subways, passenger trains, LRT, metros) | Transport safety;Urban trains (subways, passenger trains, LRT, metros) | Crime and citizen security"
34479,"Economic Benefits of Transmetro on the Reduction of Road Accidents in the Metropolitan Area of Barranquilla, Colombia.","Perdomo, Jorge; Arzuza, María",2015,ier,Completed,Journal article,JOUR,,,Lecturas de Economia,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/economic-benefits-of-transmetro-on-the-reduction-of-road-accidents-in-the-metropolitan-area-of-barranquilla--colombia-/34479,reducción de accidentalidad vial|| transmetro|| Barranquilla|| reduction of road accidents|| benefios sociales|| Social Benefits,2154,Bus Rapid Transit (BRT),2183,Transport safety,Impact evaluations,Bus Rapid Transit (BRT) | Transport safety
33372,Impacto De Transmilenio En El Crimen De La Avenida Caracas Y Sus Vecindades,García Álvaro José Moreno,2005,ier,Completed,Journal article,JOUR,,NO DOI,Universidad de los Andes - CEDE,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacto-de-transmilenio-en-el-crimen-de-la-avenida-caracas-y-sus-vecindades/33372,Crimen|| Disuasión|| Desplazamiento|| Experimento natural|| análisis de datos espaciales|| econometría espacial,2154,Bus Rapid Transit (BRT),2183,Transport safety,Impact evaluations,Bus Rapid Transit (BRT) | Transport safety
33259,Impacts of Bus Rapid Transit (BRT) on Residential Property Values: A Comparative Analysis of 11 US BRT Systems,"Acton, Blake; Le, Huyen, T.K.; Miller, Harvey, J.",2022,ier,Completed,Journal article,JOUR,,10.1016/j.jtrangeo.2022.103324,JOURNAL OF TRANSPORT GEOGRAPHY,https://www.sciencedirect.com/science/article/abs/pii/S0966692322000473,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33363,"Impact of Bus Rapid Transit on Residential Property Prices in Auckland, New Zealand","Filippova, Olga; Sheng, Mingyue",2020,ier,Completed,Journal article,JOUR,,10.1016/j.jtrangeo.2020.102780,JOURNAL OF TRANSPORT GEOGRAPHY,https://www.sciencedirect.com/science/article/abs/pii/S0966692319306623?casa_token=Vq_hpSj8viwAAAAA:BKb-yh-iqr2EdR0x3G9t-qtgkDwWuaTCrIgEG3sFVVhtX_IDCHktggI8Ee-VREj1iHlRIF3drHA,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33287,The Effect of Bus Rapid Transit on Local Home Prices,"Beaudoin, Justin; Tyndall, Justin",2023,ier,Completed,Journal article,JOUR,,10.1016/j.retrec.2023.101370,Research in Transportation Economics,https://www.sciencedirect.com/science/article/abs/pii/S0739885923001105?via%3Dihub,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
34441,Economic impact of a supply change in mass transit in urban areas A canadian example,"Dubé, Jean; Des Rosiers, Francois; Thériault, Marius; Dib, Patricia",2011,ier,Completed,Journal article,JOUR,,10.1016/j.trb.2014.02.007,Transportation Research Part A,https://www.sciencedirect.com/science/article/abs/pii/S0965856410001382,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
34438,From Bus to Tramway: Is There an Economic Impact of Substituting a Rapid Mass Transit System? An Empirical Investigation Accounting for Anticipation Effect,"Dubé, Jean; Legros, Diègo; Devaux, Nicolas",2018,ier,Completed,Journal article,JOUR,,10.1016/j.tra.2018.02.007,,https://doi.org/10.1016/j.tra.2018.02.007,,2154;2155,"Bus Rapid Transit (BRT);Urban trains (subways, passenger trains, LRT, metros)",2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Urban trains (subways, passenger trains, LRT, metros) | Land, housing, and rent prices and affordability"
34426,"Bus Rapid Transit Impact on Property Prices: Comparing Two Natural Experiments in El Paso, TX","Song, Yang; Lee, Chanam; Noh, Youngree; Li, Wei; Lee, Hanwool",2025,ier,Completed,Journal article,JOUR,,10.1177/0739456X251317,JOURNAL OF PLANNING EDUCATION AND RESEARCH,https://journals.sagepub.com/doi/10.1177/0739456X251317541,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
14456,"An Assessment of the Impacts of Large‐Scale Urban Projects on Land Values: The Case of Belo Horizonte, Brazil","Almeida, Renan; Brandão, Marcelo; Torres, Ramon; Patrício, Pedro; Amaral, Pedro",2020,ier,Completed,Journal article,JOUR,,10.1111/pirs.12572,Papers in Regional Science,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/an-assessment-of-the-impacts-of-large‐scale-urban-projects-on-land-values--the-case-of-belo-horizonte--brazil/14456,difference‐in‐differences|| Land use planning|| Large‐ scale urban projects|| Urban Development|| Land Market,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
15765,Urban Transport Infrastructure and Household Welfare: Evidence from Colombia,"Pfutze, Tobias; Rodríguez-Castelán, Carlos; Valderrama Gonzalez, Daniel",2018,ier,Completed,Published working paper,RPRT,,No DOI,Policy Research Working Papers,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/urban-transport-infrastructure-and-household-welfare--evidence-from-colombia/15765,Bus Rapid Transit (BRT) System|| Barranquilla|| Urban Displacement|| Transport Infrastructure,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33875,"When and and how much does new transport infrastructure add to property values? Evidence from the bus rapid transit system in Sydney, Australia","Mulley, Corinne; Tsai, Chi-Hong",2016,ier,Completed,Journal article,JOUR,,10.1016/j.tranpol.2016.01.011,TRANSPORT POLICY,https://www.sciencedirect.com/science/article/abs/pii/S0967070X16300105,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
34468,BRT System in Bogota and Urban Effects: More Residential Land Premiums?,"Guzmán, Luis A; Enríquez, Hernán Darío; Hessel, Phillip",2021,ier,Completed,Journal article,JOUR,,,Research in Transportation Economics,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/brt-system-in-bogota-and-urban-effects--more-residential-land-premiums-/34468,LAND use|| Land Values|| local accessibility|| Transmilenio|| Urban Development,2154,Bus Rapid Transit (BRT),2194;2195;2199,"Land, housing, and rent prices and affordability;Goods and services prices and inflation;Inequality and segregation",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation"
33448,A Methodological Proposal to Estimate Changes of Residential Property Value: a Case Study Developed in Bogotá,"Perdomo, Jorge A.",2011,ier,Completed,Journal article,JOUR,,10.1080/13504851.2011.554360,Applied Economics Letters,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/a-methodological-proposal-to-estimate-changes-of-residential-property-value--a-case-study-developed-in-bogotá/33448,TransMilenio|| Bogota|| Impact evaluations|| Propensity score matching|| spatial hedonic price|| change of property value,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33419,"Impacto del Metroplús Sobre los Precios de Vivienda en Medellín, Colombia","Gómez Hernández, Luz Yadira; Semeshenko, Viktoriya",2018,ier,Completed,Journal article,JOUR,,,Revista de Economía Política de Buenos Aires,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacto-del-metroplús-sobre-los-precios-de-vivienda-en-medellín--colombia/33419,Transporte público|| Public Transportation|| sistemas de buses rápidos|| Bus Rapid Transit (BRT) System|| modelo de Precios hedónicos|| Hedonic price model|| estimador de diferencias en diferencias|| Difference-In-Difference Estimation,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33340,Bus Rapid Transit and Property Values in Buenos Aires: Combined Spatial Hedonic Pricing and Propensity Score Techniques,"D'Elia, Vanesa Valeria; Grand, Mariana Conte; Leon, Sonia",2020,ier,Completed,Journal article,JOUR,,10.1016/j.retrec.2020.100814,Research in Transportation Economics,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/bus-rapid-transit-and-property-values-in-buenos-aires--combined-spatial-hedonic-pricing-and-propensity-score-techniques/33340,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
34409,Transport Infrastructure Improvements and Spatial Sorting: Evidence from Buenos Aires - Reduced Form Analysis,"Warnes, Pablo Ernesto",2021,ier,Completed,Thesis,Thesis,,10.7916/d8-q32f-zp56,Columbia University,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transport-infrastructure-improvements-and-spatial-sorting--evidence-from-buenos-aires---reduced-form-analysis/34409,Bus Rapid Transit (BRT) System|| spatial sorting|| Argentina,2154,Bus Rapid Transit (BRT),2194;2195;2199;2202,"Land, housing, and rent prices and affordability;Goods and services prices and inflation;Inequality and segregation;Economic activity",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation;Bus Rapid Transit (BRT) | Economic activity"
33355,Sustainable Transport and Housing Market: An Analysis for Medellin City.,"Echeverri Duran, Carolina; Restrepo, Diana Marcela; Morales Leonardo Fabio",2019,ier,Completed,Journal article,JOUR,,10.13043/DYS.83.4,Desarrollo y Sociedad,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/sustainable-transport-and-housing-market--an-analysis-for-medellin-city-/33355,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33601,"South Eastern Busway Network in Brisbane, Australia Value of the Network Effect","Mulley, Corinne; Sampaio, Breno; Ma, Liang",2017,ier,Completed,Journal article,JOUR,,10.3141/2647-06,TRANSPORTATION RESEARCH RECORD,https://journals.sagepub.com/doi/10.3141/2647-06,,2154,Bus Rapid Transit (BRT),2194,"Land, housing, and rent prices and affordability",Impact evaluations,"Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"
33521,Transit Infrastructure and Couples’ Commuting Choices in General Equilibrium,"Velásquez, Daniel",2022,ier,Completed,Published working paper,RPRT,,No DOI,CAF Working Paper Series,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transit-infrastructure-and-couples’-commuting-choices-in-general-equilibrium/33521,Mass transit|| Gender Gap|| dual earners|| quantitative spatial models|| LATIN America,2154;2155,"Bus Rapid Transit (BRT);Urban trains (subways, passenger trains, LRT, metros)",2195;2199;2202,Goods and services prices and inflation;Inequality and segregation;Economic activity,Impact evaluations,"Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation;Bus Rapid Transit (BRT) | Economic activity;Urban trains (subways, passenger trains, LRT, metros) | Goods and services prices and inflation;Urban trains (subways, passenger trains, LRT, metros) | Inequality and segregation;Urban trains (subways, passenger trains, LRT, metros) | Economic activity"
33268,The impact of public transport expansions on informality: The case of the Sao ˜ Paulo Metropolitan Region,"Moreno-Monroy, Ana I.; Roman Ramos, Federico",2021,ier,Completed,Journal article,JOUR,,10.1016/j.retrec.2020.100928,Journal of Transport,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-public-transport-expansions-on-informality--the-case-of-the-sao-˜-paulo-metropolitan-region/33268,Informality|| Public Transportation|| COMMUTING|| Accessibility|| BRAZIL,2154;2155,"Bus Rapid Transit (BRT);Urban trains (subways, passenger trains, LRT, metros)",2195;2199,Goods and services prices and inflation;Inequality and segregation,Impact evaluations,"Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation;Urban trains (subways, passenger trains, LRT, metros) | Goods and services prices and inflation;Urban trains (subways, passenger trains, LRT, metros) | Inequality and segregation"
34463,Social Fragmentation as a Consequence of Implementing a Bus Rapid Transit System in the City of Bogotá,"Bocarejo, Juan Pablo; Portilla, Ingrid; Mélendez, David",2016,ier,Completed,Journal article,JOUR,,10.1177/0042098015588739,Urban Studies,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/social-fragmentation-as-a-consequence-of-implementing-a-bus-rapid-transit-system-in-the-city-of-bogotá/34463,urban fragmentation|| Bus Rapid Transit (BRT)|| Social Exclusion|| Developing city|| Entropy Balancing,2154,Bus Rapid Transit (BRT),2195;2199,Goods and services prices and inflation;Inequality and segregation,Impact evaluations,Bus Rapid Transit (BRT) | Goods and services prices and inflation;Bus Rapid Transit (BRT) | Inequality and segregation
10839,The Effect of BRT Implementation and Streetscape Redesign on Physical Activity: A Case Study of Mexico City,"Chang, Annie; Miranda-Moreno, Luis; Cao, Jason; Welle, Ben",2017,ier,Completed,Journal article,JOUR,,10.1016/j.tra.2017.04.032,Transportation Research Part A: Policy and Practice,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-effect-of-brt-implementation-and-streetscape-redesign-on-physical-activity--a-case-study-of-mexico-city/10839,Propensity Score Matching|| MEXICO|| Active travel|| Built environment|| BUS rapid transit|| PHYSICAL activity|| Repeated cross-sectional analysis|| STREETSCAPES (Urban design)|| TRANSPORTATION|| URBAN transportation|| Walking,2154;2158,"Bus Rapid Transit (BRT);Active mobility (pedestrian, bicycles, etc.)",2196,Health access and outcomes,Impact evaluations,"Bus Rapid Transit (BRT) | Health access and outcomes;Active mobility (pedestrian, bicycles, etc.) | Health access and outcomes"
